ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,junction,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,role,discontinuous,referent,person,tense,voice,mood,frame,subjref,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN,Parent21Name,Parent21Type,Parent21Appos,Parent21Class,Parent21Rule,Parent21Role,Parent21Cltype,Parent21Unit,Parent21Junction,Parent21SN,Parent21WGN
1TH 1:1!13, ,noun,common,κύριος,Κυρίῳ,2962,singular,masculine,dative,[the] Lord,012001,12.9{N:001},N-DSM,Κυρίῳ,n52001001013,109322,w,Κυρίῳ,I_Thessalonians,13,1Thess,1,1,10,wg,apposition,,np,Np-Appos,,,,,,13,wg,group,,,,,,,,,12,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,,,,,,9,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!14, ,noun,proper,Ἰησοῦς,Ἰησοῦ,2424,singular,masculine,dative,Jesus,093001,93.169a,N-DSM,Ἰησοῦ,n52001001014,109323,w,Ἰησοῦ,I_Thessalonians,13,1Thess,1,1,11,wg,apposition,,np,Np-Appos,,,,apposition,,14,wg,apposition,,np,Np-Appos,,,,,,13,wg,group,,,,,,,,,12,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,,,,,,9,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!15,·,noun,proper,Χριστός,Χριστῷ,5547,singular,masculine,dative,Christ,093001,93.387,N-DSM,Χριστῷ·,n52001001015,109324,w,Χριστῷ,I_Thessalonians,13,1Thess,1,1,11,wg,apposition,,np,Np-Appos,,,,apposition,,14,wg,apposition,,np,Np-Appos,,,,,,13,wg,group,,,,,,,,,12,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,,,,,,9,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,apposition,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!17, ,pron,personal,σύ,ὑμῖν,4771,plural,,dative,to you,,,P-2DP,ὑμῖν,n52001001017,109325,w,ὑμῖν,I_Thessalonians,13,1Thess,1,1,4,wg,,,cl,IO-S,,VerbElided,,,,16,wg,,,,,,,,,,15,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,io,true,n52001001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!16, ,noun,common,χάρις,χάρις,5485,singular,feminine,nominative,Grace,088009,88.66,N-NSF,χάρις,n52001001016,109326,w,χάρις,I_Thessalonians,13,1Thess,1,1,5,wg,,,,NpaNp,s,,,,,17,wg,,,cl,IO-S,,VerbElided,,,,16,wg,,,,,,,,,,15,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!18, ,conj,,καί,καί,2532,,,,and,,,CONJ,καὶ,n52001001018,109327,w,καὶ,I_Thessalonians,13,1Thess,1,1,6,wg,group,,,,,,,,,18,wg,,,,NpaNp,s,,,,,17,wg,,,cl,IO-S,,VerbElided,,,,16,wg,,,,,,,,,,15,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:1!19,.,noun,common,εἰρήνη,εἰρήνη,1515,singular,feminine,nominative,peace,022007 025021,22.42 25.248,N-NSF,εἰρήνη.,n52001001019,109328,w,εἰρήνη,I_Thessalonians,13,1Thess,1,1,6,wg,group,,,,,,,,,18,wg,,,,NpaNp,s,,,,,17,wg,,,cl,IO-S,,VerbElided,,,,16,wg,,,,,,,,,,15,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!1, ,verb,,εὐχαριστέω,Εὐχαριστοῦμεν,2168,plural,,,We give thanks,025009 033036,25.100 33.349,V-PAI-1P,Εὐχαριστοῦμεν,n52001002001,109329,w,Εὐχαριστοῦμεν,I_Thessalonians,13,1Thess,1,2,4,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,first,present,active,indicative,A0:n52001001001;n52001001003;n52001001005 A1:n52001002003,n52001001001 n52001001003 n52001001005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!2, ,det,,ὁ,τῷ,3588,singular,masculine,dative,to,092004,92.24,T-DSM,τῷ,n52001002002,109330,w,τῷ,I_Thessalonians,13,1Thess,1,2,5,wg,,,np,DetNP,o,,,,,21,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!3, ,noun,common,θεός,Θεῷ,2316,singular,masculine,dative,God,012001,12.1,N-DSM,Θεῷ,n52001002003,109331,w,Θεῷ,I_Thessalonians,13,1Thess,1,2,5,wg,,,np,DetNP,o,,,,,21,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!4, ,adv,,πάντοτε,πάντοτε,3842,,,,always,067005,67.88,ADV,πάντοτε,n52001002004,109332,w,πάντοτε,I_Thessalonians,13,1Thess,1,2,4,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!5, ,prep,,περί,περί,4012,,,,concerning,089004 090006,89.6 90.24,PREP,περὶ,n52001002005,109333,w,περὶ,I_Thessalonians,13,1Thess,1,2,5,wg,,,pp,PrepNp,adv,,,,,22,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!6, ,adj,,πᾶς,πάντων,3956,plural,masculine,genitive,all,059003,59.23,A-GPM,πάντων,n52001002006,109334,w,πάντων,I_Thessalonians,13,1Thess,1,2,6,wg,,,np,All-NP,,,,,,23,wg,,,pp,PrepNp,adv,,,,,22,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 1:2!7,",",pron,personal,σύ,ὑμῶν,4771,plural,,genitive,of you,,,P-2GP,"ὑμῶν,",n52001002007,109335,w,ὑμῶν,I_Thessalonians,13,1Thess,1,2,6,wg,,,np,All-NP,,,,,,23,wg,,,pp,PrepNp,adv,,,,,22,wg,,,cl,,,,,,,20,wg,,,,,,,,,,19,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n52001001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
