ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,degree,type,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,role,referent,person,tense,voice,mood,frame,subjref,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,discontinuous,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction
3JN 1:7!2, ,conj,γάρ,γάρ,1063,,,,for,089007,89.23,CONJ,γὰρ,n64001007002,127350,w,γὰρ,III_John,25,3John,1,7,4,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!1, ,prep,ὑπέρ,ὑπέρ,5228,,,,On behalf,090009,90.36,PREP,ὑπὲρ,n64001007001,127351,w,ὑπὲρ,III_John,25,3John,1,7,6,wg,,,pp,PrepNp,adv,,,,,64,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!3, ,det,ὁ,τοῦ,3588,singular,neuter,genitive,of the,092004,92.24,T-GSN,τοῦ,n64001007003,127352,w,τοῦ,III_John,25,3John,1,7,7,wg,,,np,DetNP,,,,,,65,wg,,,pp,PrepNp,adv,,,,,64,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,,,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!4, ,noun,ὄνομα,Ὀνόματος,3686,singular,neuter,genitive,name,009001 033020,33.265 9.19,N-GSN,Ὀνόματος,n64001007004,127353,w,Ὀνόματος,III_John,25,3John,1,7,7,wg,,,np,DetNP,,,,,,65,wg,,,pp,PrepNp,adv,,,,,64,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,,common,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!5, ,verb,ἐξέρχομαι,ἐξῆλθαν,1831,plural,,,they went forth,015004,15.40,V-2AAI-3P,ἐξῆλθαν,n64001007005,127354,w,ἐξῆλθαν,III_John,25,3John,1,7,5,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,third,aorist,active,indicative,A0:n64001005012,n64001005012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!6, ,adj,μηδείς,μηδέν,3367,singular,neuter,accusative,nothing,092004,92.23,A-ASN-N,μηδὲν,n64001007006,127355,w,μηδὲν,III_John,25,3John,1,7,6,wg,,,cl,O-V-ADV,adv,,,,,66,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,,,book,,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!7, ,verb,λαμβάνω,λαμβάνοντες,2983,plural,masculine,nominative,accepting,057007,57.55,V-PAP-NPM,λαμβάνοντες,n64001007007,127356,w,λαμβάνοντες,III_John,25,3John,1,7,6,wg,,,cl,O-V-ADV,adv,,,,,66,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,,present,active,participle,A0:n64001005012 A1:n64001007006,n64001005012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!8, ,prep,ἀπό,ἀπό,575,,,,from,090003,90.15,PREP,ἀπὸ,n64001007008,127357,w,ἀπὸ,III_John,25,3John,1,7,7,wg,,,pp,PrepNp,adv,,,,,67,wg,,,cl,O-V-ADV,adv,,,,,66,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,wg,,,,,,,,,,61,,,sentence,,,,,,,,,6,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!9, ,det,ὁ,τῶν,3588,plural,masculine,genitive,the,092004,92.24,T-GPM,τῶν,n64001007009,127358,w,τῶν,III_John,25,3John,1,7,8,wg,,,np,DetAdj,,,,,,68,wg,,,pp,PrepNp,adv,,,,,67,wg,,,cl,O-V-ADV,adv,,,,,66,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,,,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:7!10,.,adj,ἐθνικός,ἐθνικῶν,1482,plural,masculine,genitive,Gentiles,011002,11.38,A-GPM,ἐθνικῶν.,n64001007010,127359,w,ἐθνικῶν,III_John,25,3John,1,7,8,wg,,,np,DetAdj,,,,,,68,wg,,,pp,PrepNp,adv,,,,,67,wg,,,cl,O-V-ADV,adv,,,,,66,wg,,,cl,ADV-V-ADV,,,,,,63,wg,,,,Conj-CL,,,,,,62,,,wg,,,,,,,,,,61,sentence,,,,,,,,,6,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
