ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,degree,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,type,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,referent,role,person,tense,voice,mood,frame,discontinuous,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,subjref,junction
2JN 1:7!11, ,noun,Ἰησοῦς,Ἰησοῦν,2424,singular,masculine,accusative,Jesus,093001,93.169a,N-ASM,Ἰησοῦν,n63001007011,127155,w,Ἰησοῦν,II_John,24,2John,1,7,10,wg,apposition,,np,Np-Appos,s,,,,,105,wg,,,cl,S-V-ADV,o,,,,,104,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,proper,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!12, ,noun,Χριστός,Χριστόν,5547,singular,masculine,accusative,Christ,093001,93.387,N-ASM,Χριστὸν,n63001007012,127156,w,Χριστὸν,II_John,24,2John,1,7,10,wg,apposition,,np,Np-Appos,s,,,,,105,wg,,,cl,S-V-ADV,o,,,,,104,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,proper,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apposition
2JN 1:7!13, ,verb,ἔρχομαι,ἐρχόμενον,2064,singular,masculine,accusative,coming,015006,15.81,V-PNP-ASM,ἐρχόμενον,n63001007013,127157,w,ἐρχόμενον,II_John,24,2John,1,7,9,wg,,,cl,S-V-ADV,o,,,,,104,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,wg,,,,sub-CL,,,,,,96,,wg,,,,,,,,,,95,sentence,,,,,,,,,7,,,book,,,,,,,,,,,,,,,,,,,,,,,v,,present,middlepassive,participle,A0:n63001007011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!14, ,prep,ἐν,ἐν,1722,,,,in,013001,13.8,PREP,ἐν,n63001007014,127158,w,ἐν,II_John,24,2John,1,7,10,wg,,,pp,PrepNp,adv,,,,,106,wg,,,cl,S-V-ADV,o,,,,,104,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!15,·,noun,σάρξ,σαρκί,4561,singular,feminine,dative,flesh,009001,9.12,N-DSF,σαρκί·,n63001007015,127159,w,σαρκί,II_John,24,2John,1,7,10,wg,,,pp,PrepNp,adv,,,,,106,wg,,,cl,S-V-ADV,o,,,,,104,wg,,,cl,ADV-V-O,,,,,,103,wg,,,,DetCL,,,,apposition,,102,wg,apposition,,np,Np-Appos,s,,,,,100,wg,,,cl,V-ADV-S,,,,,,97,,wg,,,,sub-CL,,,,,,96,wg,,,,,,,,,,95,common,sentence,,,,,,,,,7,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!16, ,pron,οὗτος,οὗτος,3778,singular,masculine,nominative,This,,,D-NSM,οὗτός,n63001007016,127160,w,οὗτός,II_John,24,2John,1,7,4,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demonstrative,,,,,,,,,,,,,,,,,,,,,,,n63001007003,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!17, ,verb,εἰμί,ἐστιν,1510,singular,,,is,,,V-PAI-3S,ἐστιν,n63001007017,127161,w,ἐστιν,II_John,24,2John,1,7,4,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vc,third,present,active,indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!18, ,det,ὁ,ὁ,3588,singular,masculine,nominative,the,092004,92.24,T-NSM,ὁ,n63001007018,127162,w,ὁ,II_John,24,2John,1,7,6,wg,,,np,DetAdj,,,,,,110,wg,,,,NpaNp,p,,,,,109,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!19, ,adj,πλάνος,πλάνος,4108,singular,masculine,nominative,deceiver,031002,31.9,A-NSM,πλάνος,n63001007019,127163,w,πλάνος,II_John,24,2John,1,7,6,wg,,,np,DetAdj,,,,,,110,wg,,,,NpaNp,p,,,,,109,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!20, ,conj,καί,καί,2532,,,,and,089017,89.92,CONJ,καὶ,n63001007020,127164,w,καὶ,II_John,24,2John,1,7,6,wg,group,,,,,,,,,111,wg,,,,NpaNp,p,,,,,109,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!21, ,det,ὁ,ὁ,3588,singular,masculine,nominative,the,092004,92.24,T-NSM,ὁ,n63001007021,127165,w,ὁ,II_John,24,2John,1,7,7,wg,,,np,DetNP,,,,,,112,wg,group,,,,,,,,,111,wg,,,,NpaNp,p,,,,,109,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:7!22,.,noun,ἀντίχριστος,ἀντίχριστος,500,singular,masculine,nominative,antichrist,053009,53.83,N-NSM,ἀντίχριστος.,n63001007022,127166,w,ἀντίχριστος,II_John,24,2John,1,7,7,wg,,,np,DetNP,,,,,,112,wg,group,,,,,,,,,111,wg,,,,NpaNp,p,,,,,109,wg,,,cl,S-VC-P,,,,,,108,wg,,,,,,,,,,107,sentence,,,,,,,,,8,,,book,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!1, ,verb,βλέπω,βλέπετε,991,plural,,,Watch,027006,27.58,V-PAM-2P,βλέπετε,n63001008001,127167,w,βλέπετε,II_John,24,2John,1,8,4,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,second,present,active,imperative,A0:n63001005005;n63001001007 A1:n63001008002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,
2JN 1:8!2,",",pron,ἑαυτοῦ,ἑαυτούς,1438,plural,masculine,accusative,yourselves,092004,92.25,F-2APM,"ἑαυτούς,",n63001008002,127168,w,ἑαυτούς,II_John,24,2John,1,8,4,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!3, ,conj,ἵνα,ἵνα,2443,,,,so that,089008,89.49,CONJ,ἵνα,n63001008003,127169,w,ἵνα,II_John,24,2John,1,8,5,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!4, ,adv,μή,μή,3361,,,,not,,,PRT-N,μὴ,n63001008004,127170,w,μὴ,II_John,24,2John,1,8,6,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!5, ,verb,ἀπόλλυμι,ἀπολέσητε,622,plural,,,you should lose,057007,57.68,V-AAS-2P,ἀπολέσητε,n63001008005,127171,w,ἀπολέσητε,II_John,24,2John,1,8,7,wg,,,cl,V-O,,,,,,117,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,second,aorist,active,subjunctive,A0:n63001005005;n63001001007 A1:n63001008007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,
2JN 1:8!6, ,pron,ὅς,ἅ,3739,plural,neuter,accusative,what things,,,R-APN,ἃ,n63001008006,127172,w,ἃ,II_John,24,2John,1,8,8,wg,,,cl,O-V,o,,,,,118,wg,,,cl,V-O,,,,,,117,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,,sentence,,,,,,,,,9,,book,,,,,,,,,,,relative,,,,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!7,",",verb,ἐργάζομαι,ἠργασάμεθα,2038,plural,,,we have worked for,042004,42.41,V-ADI-1P,"ἠργασάμεθα,",n63001008007,127173,w,ἠργασάμεθα,II_John,24,2John,1,8,8,wg,,,cl,O-V,o,,,,,118,wg,,,cl,V-O,,,,,,117,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,aorist,middle,indicative,A0:n63001001002;n63001005005;n63001001007;n63001001022 A1:n63001008006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001001002 n63001005005 n63001001007 n63001001022,
2JN 1:8!8, ,conj,ἀλλά,ἀλλά,235,,,,but,089023,89.125,CONJ,ἀλλὰ,n63001008008,127174,w,ἀλλὰ,II_John,24,2John,1,8,6,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!9, ,noun,μισθός,μισθόν,3408,singular,masculine,accusative,a reward,038002,38.14,N-ASM,μισθὸν,n63001008009,127175,w,μισθὸν,II_John,24,2John,1,8,8,wg,,,np,NpAdjp,o,,,,,120,wg,,,cl,O-V,,,,,,119,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,,sentence,,,,,,,,,9,,book,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!10, ,adj,πλήρης,πλήρη,4134,singular,masculine,accusative,full,059003,59.31,A-ASM,πλήρη,n63001008010,127176,w,πλήρη,II_John,24,2John,1,8,8,wg,,,np,NpAdjp,o,,,,,120,wg,,,cl,O-V,,,,,,119,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,,sentence,,,,,,,,,9,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:8!11,.,verb,ἀπολαμβάνω,ἀπολάβητε,618,plural,,,you may receive,057009,57.128,V-2AAS-2P,ἀπολάβητε.,n63001008011,127177,w,ἀπολάβητε,II_John,24,2John,1,8,7,wg,,,cl,O-V,,,,,,119,wg,group,,,notCLbutCL2CL,,,,,,116,wg,,,,sub-CL,adv,,,,,115,wg,,,cl,,,,,,,114,wg,,,,,,,,,,113,sentence,,,,,,,,,9,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,second,aorist,active,subjunctive,A0:n63001005005;n63001001007 A1:n63001008009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n63001005005 n63001001007,
2JN 1:9!1, ,adj,πᾶς,πᾶς,3956,singular,masculine,nominative,Anyone,059003,59.24,A-NSM,πᾶς,n63001009001,127178,w,πᾶς,II_John,24,2John,1,9,5,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!2, ,det,ὁ,ὁ,3588,singular,masculine,nominative,-,092004,92.24,T-NSM,ὁ,n63001009002,127179,w,ὁ,II_John,24,2John,1,9,6,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!3, ,verb,προάγω,προάγων,4254,singular,masculine,nominative,going on ahead,036003,36.25,V-PAP-NSM,προάγων,n63001009003,127180,w,προάγων,II_John,24,2John,1,9,8,wg,,,cl,V2CL,,,,,,126,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,present,active,participle,A0:n00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!4, ,conj,καί,καί,2532,,,,and,,,CONJ,καὶ,n63001009004,127181,w,καὶ,II_John,24,2John,1,9,8,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!5, ,adv,μή,μή,3361,,,,not,,,PRT-N,μὴ,n63001009005,127182,w,μὴ,II_John,24,2John,1,9,9,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,,book,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!6, ,verb,μένω,μένων,3306,singular,masculine,nominative,abiding,068002,68.11,V-PAP-NSM,μένων,n63001009006,127183,w,μένων,II_John,24,2John,1,9,9,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,,book,,,,,,,,,,,,,,,,,,,,,,,v,,present,active,participle,A0:n00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!7, ,prep,ἐν,ἐν,1722,,,,in,,,PREP,ἐν,n63001009007,127184,w,ἐν,II_John,24,2John,1,9,10,wg,,,pp,PrepNp,adv,,,,,129,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!8, ,det,ὁ,τῇ,3588,singular,feminine,dative,the,092004,92.24,T-DSF,τῇ,n63001009008,127185,w,τῇ,II_John,24,2John,1,9,11,wg,,,np,DetNP,,,,,,130,wg,,,pp,PrepNp,adv,,,,,129,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!9, ,noun,διδαχή,διδαχῇ,1322,singular,feminine,dative,teaching,033017,33.236,N-DSF,διδαχῇ,n63001009009,127186,w,διδαχῇ,II_John,24,2John,1,9,12,wg,,,np,NPofNP,,,,,,131,wg,,,np,DetNP,,,,,,130,wg,,,pp,PrepNp,adv,,,,,129,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,wg,,,,CLaCL,,,,,,125,,wg,,,,DetCL,,,,,,124,wg,,,np,All-NP,s,,,,,123,common,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,,,,,,,,,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!10, ,det,ὁ,τοῦ,3588,singular,masculine,genitive,-,092004,92.24,T-GSM,τοῦ,n63001009010,127187,w,τοῦ,II_John,24,2John,1,9,13,wg,,,np,DetNP,,,,,,132,wg,,,np,NPofNP,,,,,,131,wg,,,np,DetNP,,,,,,130,wg,,,pp,PrepNp,adv,,,,,129,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,,,,,,,,,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!11, ,noun,Χριστός,Χριστοῦ,5547,singular,masculine,genitive,of Christ,093001,93.387,N-GSM,Χριστοῦ,n63001009011,127188,w,Χριστοῦ,II_John,24,2John,1,9,13,wg,,,np,DetNP,,,,,,132,wg,,,np,NPofNP,,,,,,131,wg,,,np,DetNP,,,,,,130,wg,,,pp,PrepNp,adv,,,,,129,wg,,,cl,ADV-V-ADV,,,,,,128,wg,group,,,,,,,,,127,,wg,,,,CLaCL,,,,,,125,wg,,,,DetCL,,,,,,124,proper,wg,,,np,All-NP,s,,,,,123,wg,,,cl,S-O-ADV-V,,,,,,122,,,,,,,,,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!12, ,noun,θεός,Θεόν,2316,singular,masculine,accusative,God,012001,12.1,N-ASM,Θεὸν,n63001009012,127189,w,Θεὸν,II_John,24,2John,1,9,4,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!13, ,adv,οὐ,οὐκ,3756,,,,not,,,PRT-N,οὐκ,n63001009013,127190,w,οὐκ,II_John,24,2John,1,9,4,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!14,·,verb,ἔχω,ἔχει,2192,singular,,,has,090013,90.65,V-PAI-3S,ἔχει·,n63001009014,127191,w,ἔχει,II_John,24,2John,1,9,4,wg,,,cl,S-O-ADV-V,,,,,,122,wg,,,,,,,,,,121,sentence,,,,,,,,,10,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,third,present,active,indicative,A0:n63001009003;n63001009006 A1:n63001009012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:9!15, ,det,ὁ,ὁ,3588,singular,masculine,nominative,The [one],092004,92.24,T-NSM,ὁ,n63001009015,127192,w,ὁ,II_John,24,2John,1,9,6,wg,,,,DetCL,aux,,,,,136,wg,,,,Np2CL,,Minor,,,,135,wg,,,cl,,,,,,,134,wg,,,,,,,,,,133,sentence,,,,,,,,,11,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
