ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,discontinuous,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,junction,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,role,referent,person,tense,voice,mood,frame,subjref,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,degree,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN,Parent21Name,Parent21Type,Parent21Appos,Parent21Class,Parent21Rule,Parent21Role,Parent21Cltype,Parent21Unit,Parent21Junction,Parent21SN,Parent21WGN,Parent22Name,Parent22Type,Parent22Appos,Parent22Class,Parent22Rule,Parent22Role,Parent22Cltype,Parent22Unit,Parent22Junction,Parent22SN,Parent22WGN,Parent23Name,Parent23Type,Parent23Appos,Parent23Class,Parent23Rule,Parent23Role,Parent23Cltype,Parent23Unit,Parent23Junction,Parent23SN,Parent23WGN,Parent24Name,Parent24Type,Parent24Appos,Parent24Class,Parent24Rule,Parent24Role,Parent24Cltype,Parent24Unit,Parent24Junction,Parent24SN,Parent24WGN
TIT 1:1!11, ,noun,common,θεός,Θεοῦ,2316,singular,masculine,genitive,of God,012001,12.1,N-GSM,Θεοῦ,n56001001011,114440,w,Θεοῦ,Titus,17,Titus,1,1,8,wg,,,np,NPofNP,,,,,,12,wg,,,np,NPofNP,,,,,,11,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!12, ,conj,,καί,καί,2532,,,,and,,,CONJ,καὶ,n56001001012,114441,w,καὶ,Titus,17,Titus,1,1,7,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!13, ,noun,common,ἐπίγνωσις,ἐπίγνωσιν,1922,singular,feminine,accusative,knowledge,028001,28.2,N-ASF,ἐπίγνωσιν,n56001001013,114442,w,ἐπίγνωσιν,Titus,17,Titus,1,1,8,wg,,,np,NPofNP,,,,,,14,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!14, ,noun,common,ἀλήθεια,ἀληθείας,225,singular,feminine,genitive,of [the] truth,072001,72.2,N-GSF,ἀληθείας,n56001001014,114443,w,ἀληθείας,Titus,17,Titus,1,1,9,wg,apposition,,np,Np-Appos,,,,,,15,wg,,,np,NPofNP,,,,,,14,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!15, ,det,,ὁ,τῆς,3588,singular,feminine,genitive,which [is],092004,92.24,T-GSF,τῆς,n56001001015,114444,w,τῆς,Titus,17,Titus,1,1,10,wg,,,np,NpPp,,,,apposition,,16,wg,apposition,,np,Np-Appos,,,,,,15,wg,,,np,NPofNP,,,,,,14,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!16, ,prep,,κατά,κατ’,2596,,,,according to,089005,89.8,PREP,κατ’,n56001001016,114445,w,κατ’,Titus,17,Titus,1,1,11,wg,,,pp,PrepNp,,,,,,17,wg,,,np,NpPp,,,,apposition,,16,wg,apposition,,np,Np-Appos,,,,,,15,wg,,,np,NPofNP,,,,,,14,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:1!17, ,noun,common,εὐσέβεια,εὐσέβειαν,2150,singular,feminine,accusative,godliness,053001,53.1 53.5,N-ASF,εὐσέβειαν,n56001001017,114446,w,εὐσέβειαν,Titus,17,Titus,1,1,11,wg,,,pp,PrepNp,,,,,,17,wg,,,np,NpPp,,,,apposition,,16,wg,apposition,,np,Np-Appos,,,,,,15,wg,,,np,NPofNP,,,,,,14,wg,group,,,,,,,,,13,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,adv,,,,,9,,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:2!1, ,prep,,ἐπί,ἐπ’,1909,,,,in,089006 089007 089009,89.13 89.27 89.60,PREP,ἐπ’,n56001002001,114447,w,ἐπ’,Titus,17,Titus,1,2,5,wg,,,pp,PrepNp,adv,,,,,18,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:2!2, ,noun,common,ἐλπίς,ἐλπίδι,1680,singular,feminine,dative,[the] hope,025004,25.59,N-DSF,ἐλπίδι,n56001002002,114448,w,ἐλπίδι,Titus,17,Titus,1,2,6,wg,,,np,NPofNP,,,,,,19,wg,,,pp,PrepNp,adv,,,,,18,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:2!3, ,noun,common,ζωή,ζωῆς,2222,singular,feminine,genitive,of life,023007,23.88,N-GSF,ζωῆς,n56001002003,114449,w,ζωῆς,Titus,17,Titus,1,2,8,wg,,,np,NpAdjp,,,,,,21,wg,apposition,,np,NP-CL,,,,,,20,wg,,,np,NPofNP,,,,,,19,wg,,,pp,PrepNp,adv,,,,,18,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT 1:2!4,",",adj,,αἰώνιος,αἰωνίου,166,singular,feminine,genitive,eternal,067005,67.96,A-GSF,"αἰωνίου,",n56001002004,114450,w,αἰωνίου,Titus,17,Titus,1,2,8,wg,,,np,NpAdjp,,,,,,21,wg,apposition,,np,NP-CL,,,,,,20,wg,,,np,NPofNP,,,,,,19,wg,,,pp,PrepNp,adv,,,,,18,wg,,,cl,S-ADV-ADV-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
